FromName,ToName,ParentName,Include,Description,DataType,DataLength,TableName,SortOrder,TableIncluded,,
Communication.Description,Description,,TRUE,,TEXT,500,Communication,168,TRUE,,
Frequency,Frequency,,TRUE,,,,Frequency,173,TRUE,,
Frequency.FrequencyId,FrequencyId,,TRUE,,GUID,,Frequency,174,TRUE,,
Frequency.Name,Name,,TRUE,,TEXT,50,Frequency,175,TRUE,,
Frequency.Description,Description,,TRUE,,TEXT,500,Frequency,176,TRUE,,
Proficiency,Proficiency,Operator,TRUE,,,,Proficiency,189,TRUE,,
Proficiency.ProficiencyId,ProficiencyId,,TRUE,,GUID,,Proficiency,190,TRUE,,
Proficiency.Name,Name,,TRUE,,TEXT,50,Proficiency,191,TRUE,,
Proficiency.Description,Description,,TRUE,,TEXT,500,Proficiency,192,TRUE,,
Understanding,Understanding,Communication,TRUE,,,,Understanding,205,TRUE,,
Understanding.UnderstandingId,UnderstandingId,,TRUE,,GUID,,Understanding,206,TRUE,,
Understanding.Name,Name,,TRUE,,TEXT,50,Understanding,207,TRUE,,
Understanding.Description,Description,,TRUE,,TEXT,500,Understanding,208,TRUE,,
Signal,Signal,MCDevice,TRUE,,,,Signal,213,TRUE,,
Signal.SignalId,SignalId,,TRUE,,GUID,,Signal,214,TRUE,,
Signal.Name,Name,,TRUE,,TEXT,50,Signal,215,TRUE,,
Signal.Description,Description,,TRUE,,TEXT,500,Signal,216,TRUE,,
Decoding,Decoding,,TRUE,,,,Decoding,217,TRUE,,
Decoding.DecodingId,DecodingId,,TRUE,,GUID,,Decoding,218,TRUE,,
Decoding.Name,Name,,TRUE,,TEXT,50,Decoding,219,TRUE,,
Decoding.Description,Description,,TRUE,,TEXT,500,Decoding,220,TRUE,,
Device,Device,,TRUE,,,,Device,221,TRUE,,
Device.DeviceId,DeviceId,,TRUE,,GUID,,Device,222,TRUE,,
Device.Name,Name,,TRUE,,TEXT,50,Device,223,TRUE,,
Device.Description,Description,,TRUE,,TEXT,500,Device,224,TRUE,,
Alternative,Alternative,,TRUE,,,,Alternative,225,TRUE,,
Alternative.AlternativeId,AlternativeId,,TRUE,,GUID,,Alternative,226,TRUE,,
Alternative.Name,Name,,TRUE,,TEXT,50,Alternative,227,TRUE,,
Alternative.Description,Description,,TRUE,,TEXT,500,Alternative,228,TRUE,,
Example,Example,,FALSE,,,,Example,233,FALSE,,
Example.ExampleId,ExampleId,,TRUE,,GUID,,Example,234,FALSE,,
Example.Name,Name,,TRUE,,TEXT,50,Example,235,FALSE,,
Example.Description,Description,,TRUE,,TEXT,500,Example,236,FALSE,,
Tone,Tone,Communication,TRUE,,,,Tone,237,TRUE,,
Tone.ToneId,ToneId,,TRUE,,GUID,,Tone,238,TRUE,,
Tone.Name,Name,,TRUE,,TEXT,50,Tone,239,TRUE,,
Tone.Description,Description,,TRUE,,TEXT,500,Tone,240,TRUE,,
Light,Light,MCDevice,TRUE,,,,Light,241,TRUE,,
Light.LightId,LightId,,TRUE,,GUID,,Light,242,TRUE,,
Light.Name,Name,,TRUE,,TEXT,50,Light,243,TRUE,,
Light.Description,Description,,TRUE,,TEXT,500,Light,244,TRUE,,
Click,Click,,TRUE,,,,Click,245,TRUE,,
Click.ClickId,ClickId,,TRUE,,GUID,,Click,246,TRUE,,
Click.Name,Name,,TRUE,,TEXT,50,Click,247,TRUE,,
Click.Description,Description,,TRUE,,TEXT,500,Click,248,TRUE,,
Language,Language,,TRUE,,,,Language,277,TRUE,,
Language.LanguageId,LanguageId,,TRUE,,GUID,,Language,278,TRUE,,
Language.Name,Name,,TRUE,,TEXT,50,Language,279,TRUE,,
Language.Description,Description,,TRUE,,TEXT,500,Language,280,TRUE,,
Extension,Extension,,TRUE,,,,Extension,281,TRUE,,
Extension.ExtensionId,ExtensionId,,TRUE,,GUID,,Extension,282,TRUE,,
Extension.Name,Name,,TRUE,,TEXT,50,Extension,283,TRUE,,
Extension.Description,Description,,TRUE,,TEXT,500,Extension,284,TRUE,,
Operator,TelegraphOperator,Communication,TRUE,,,,Operator,293,TRUE,,
Operator.OperatorId,TelegraphOperatorId,,TRUE,,GUID,,Operator,294,TRUE,,
Operator.Name,Name,,TRUE,,TEXT,50,Operator,295,TRUE,,
Operator.Description,Description,,TRUE,,TEXT,500,Operator,296,TRUE,,
Country,Country,,TRUE,,,,Country,297,TRUE,,
Country.CountryId,CountryId,,TRUE,,GUID,,Country,298,TRUE,,
Country.Name,Name,,TRUE,,TEXT,50,Country,299,TRUE,,
Country.Description,Description,,TRUE,,TEXT,500,Country,300,TRUE,,
Controller,Controller,Communication,TRUE,,,,Controller,305,TRUE,,
Controller.ControllerId,ControllerId,,TRUE,,GUID,,Controller,306,TRUE,,
Controller.Name,Name,,TRUE,,TEXT,50,Controller,307,TRUE,,
Controller.Description,Description,,TRUE,,TEXT,500,Controller,308,TRUE,,
Human,Human,,TRUE,,,,Human,325,TRUE,,
Human.HumanId,HumanId,,TRUE,,GUID,,Human,326,TRUE,,
Human.Name,Name,,TRUE,,TEXT,50,Human,327,TRUE,,
Human.Description,Description,,TRUE,,TEXT,500,Human,328,TRUE,,
Datum,Datum,,TRUE,,,,Datum,329,TRUE,,
Datum.DatumId,DatumId,,TRUE,,GUID,,Datum,330,TRUE,,
Datum.Name,Name,,TRUE,,TEXT,50,Datum,331,TRUE,,
Datum.Description,Description,,TRUE,,TEXT,500,Datum,332,TRUE,,
Channel,Channel,,TRUE,,,,Channel,337,TRUE,,
Channel.ChannelId,ChannelId,,TRUE,,GUID,,Channel,338,TRUE,,
Channel.Name,Name,,TRUE,,TEXT,50,Channel,339,TRUE,,
Channel.Description,Description,,TRUE,,TEXT,500,Channel,340,TRUE,,
Repeater,Repeater,MCDevice,TRUE,,,,Repeater,341,TRUE,,
Repeater.RepeaterId,RepeaterId,,TRUE,,GUID,,Repeater,342,TRUE,,
Repeater.Name,Name,,TRUE,,TEXT,50,Repeater,343,TRUE,,
Repeater.Description,Description,,TRUE,,TEXT,500,Repeater,344,TRUE,,
Morse,Morse,,FALSE,,,,Morse,1,FALSE,,
Morse.MorseId,MorseId,,TRUE,,GUID,,Morse,2,FALSE,,
